state,total_evs,station_count,evs_per_station
Bihar,213465,9,23718.33
Tripura,18346,1,18346.00
Assam,151917,10,15191.70
Uttar Pradesh,732074,87,8414.64
Madhya Pradesh,133182,20,6659.10
Chhattisgarh,75275,12,6272.92
Rajasthan,228573,67,3411.54
Punjab,49285,15,3285.67
Uttarakhand,57606,21,2743.14
Andhra Pradesh,77356,31,2495.35
Karnataka,315498,134,2354.46
Gujarat,176713,77,2294.97
Odisha,86823,38,2284.82
Jharkhand,47871,22,2175.95
Goa,17382,8,2172.75
Maharashtra,401535,255,1574.65
Kerala,133246,90,1480.51
West Bengal,78112,53,1473.81
Haryana,85250,60,1420.83
Tamil Nadu,206902,155,1334.85
Himachal Pradesh,2886,6,481.00
Sikkim,4,2,2.00
Mizoram,235,0,
Nagaland,52,0,
Jammu And Kashmir,16840,0,
Arunachal Pradesh,40,0,
Meghalaya,208,0,
Manipur,1284,0,
